NTE,NTE,NANT,FR,EU,47.158333,-1.609722,301735,Nantes
DAC,DAC,DACA,BD,AS,23.843330,90.397780,299324,Dhaka
PDX,PDX,PDXA,US,NA,45.589167,-122.595000,299302,Portland
SDQ,SDQ,SDQA,DO,NA,18.429167,-69.669167,297853,Santo Domingo
SOU,SOU,SOUT,UK,EU,50.951667,-1.351944,296125,Southampton
RTM,RTM,ROTT,NL,EU,51.958333,4.444444,294533,Rotterdam
KHI,KHI,KHIA,PK,AS,24.905556,67.156944,291684,Karachi
SZG,SZG,SALZ,AT,EU,47.793056,13.005556,289574,Salzburg
YEG,YEA,YEAA,CA,NA,53.309722,-113.579722,289574,Edmonton
CNF,BHZ,BHZA,BR,SA,-19.633333,-43.968611,287585,Belo Horizonte
GOJ,GOJ,NIZH,RU,EU,56.230119,43.784042,287409,Nizhniy Novgorod
ALG,ALG,ALGA,DZ,AF,36.693333,3.217222,285784,Algiers
DCA,WAS,WASA,US,NA,38.851700,-77.036900,285760,Washington
MFM,MFM,MFMA,MO,AS,22.149444,113.591667,279943,Macau
PTY,PTY,PTYA,PA,NA,9.083333,-79.383333,279072,Panama City
GZT,GZT,GAZI,TR,AS,36.947183,37.478683,278831,Gaziantep
RYG,OSL,OSLO,NO,EU,59.378900,10.785600,278640,Oslo
LJU,LJU,LJUB,SI,EU,46.224722,14.460833,271834,Ljubljana
ALA,ALA,ALAA,KZ,AS,43.350000,77.033333,270965,Almaty
DRW,DRW,DRWA,AU,OC,-12.416667,130.872222,267353,Darwin
JER,JER,JERS,UK,EU,49.211111,-2.216667,266559,Jersey
KGS,KGS,KOSS,GR,EU,36.793056,27.095278,261628,Kos
MDE,MDE,MDEA,CO,SA,6.164444,-75.423056,261415,Medellin
YKS,YKS,YAKU,RU,EU,62.093250,129.770670,259749,Yakutsk
URT,URT,URTT,TH,AS,9.134300,99.136162,258875,Surat Thani
SDU,RIO,RIOA,BR,SA,-22.910460,-43.163130,258458,Rio De Janeiro
ACC,ACC,ACCA,GH,AF,5.595278,-0.170833,258222,Accra
TSA,TPE,TPET,TW,AS,25.066667,121.516667,256487,Taipei
NAN,NAN,NANF,FJ,OC,-17.753056,177.447778,250034,Nadi
LGK,LGK,LGKM,MY,AS,6.333333,99.733333,248174,Langkawi
ODS,ODS,ODES,UA,EU,46.433333,30.683333,248121,Odessa
ZTH,ZTH,ZAKI,GR,EU,37.755800,20.888300,247106,Zante (Zakynthos)
SLC,SLC,SLCA,US,NA,40.797437,-111.979523,245658,Salt Lake City
HDY,HDY,HDYT,TH,AS,6.933333,100.416667,245082,Hat Yai (Songkhla)
GUM,GUM,GUMA,GU,OC,13.480000,144.791111,244635,Barrigada / Tamuning
CWB,CWB,CWBA,BR,SA,-25.526667,-49.177778,244589,Curitiba
POZ,POZ,POZN,PL,EU,52.421031,16.826325,243873,Poznan
BKI,BKI,BKIM,MY,AS,5.940833,116.050000,239945,Kota Kinabalu
CGH,SAO,SAOA,BR,SA,-23.625000,-46.660000,237789,Sao Paulo
UUS,UUS,YUZH,RU,EU,46.888672,142.717531,237694,Yuzhno-Sakhalinsk
TNG,TNG,TANG,MA,AF,35.716667,-5.916667,237526,Tangier
SVG,SVG,STAV,NO,EU,58.879722,5.634722,236362,Stavanger
DTM,DTM,DORT,DE,EU,51.516667,7.600000,229982,Dortmund
CLT,CLT,CLTA,US,NA,35.219167,-80.935833,225902,Charlotte
MBJ,MBJ,MBJA,JM,NA,18.501944,-77.912500,222736,Montego Bay
SKP,SKP,SKOP,MK,EU,41.966667,21.633333,221723,Skopje
SUB,SUB,SUBI,ID,AS,-7.379722,112.786944,220996,Surabaya
TGD,TGD,PODG,ME,EU,42.358333,19.251944,218933,Podgorica
VAR,VAR,VARN,BG,EU,43.232500,27.825556,218259,Varna
VOG,VOG,VOLH,RU,EU,48.782528,44.345544,218120,Volgograd
